name,urn,country,products,brandname
Future Tech Concepts Holdings Limited,1X0A6EO6,Hong Kong,,
G & B (HK) Company,1X03Q34N,Hong Kong,,
GP Electronics (HK) Limited,1X03IG0O,Hong Kong,,
Global Point Injection Molding Company Limited,1X0A41KD,Hong Kong,,
Golden Brilliant Limited,1X03D6VN,Hong Kong,,
Grace Bright Enterprise Limited,1X0A3RL6,Hong Kong,,
Grakon International (HK) Ltd,1X03NMLL,Hong Kong,,
Grand Pacific Technology Ltd,1S00NRHU1,Hong Kong,,
Great Dragon (H.K.) Telecom Co. Limited,1S00NZDH8,Hong Kong,,
Great Sound,1X03KASE,Hong Kong,,
HK Car Trader Ltd,1X09HURR,Hong Kong,,
Hilbo Ltd,1X02R4TV,Hong Kong,,
Hip On Auto Parts & Accessories Co Ltd,1X03MJJW,Hong Kong,,
Hooh Limited,1X045KWG,Hong Kong,,
Hun Cheung Aluminium Diecasting Fty Ltd,1X03SPMB,Hong Kong,,
Integrate Asia Co Ltd,1X038GG8,Hong Kong,,
Invo Auto Co Ltd,1X09PZ6X,Hong Kong,,
Island Motors Ltd,1X09OFM5,Hong Kong,,
Itsuwa (Hong Kong) Ltd,1X02EKEY,Hong Kong,,
JCR Enterprises Company Limited,1X0B5HF6,Hong Kong,,
JVC Kenwood Hong Kong Limited,1X0280GK,Hong Kong,,
K-Wah Limited,1X0B72M8,Hong Kong,,
KDG Automobile International Co Ltd,1X09LOOC,Hong Kong,,
Kai Mei Products Co,1X0B5C6U,Hong Kong,,
