name,urn,country,products,brandname
"Jiangmen Rich Technology Co., Ltd.",1S00ONFH6,Mainland China,car mp3;car audio;car audio fm,
Jiaxing Jinlida Electron Co Ltd,1X00L7NS,Mainland China,"15"" Active Speaker;Active Injection Plastic Speaker;Car Speaker;PA Speaker Box;Subwoofer Box;Wiring Kit;Car Subwoofer;Audio Cable;Automobile Subwoofer;PA Speaker;Dual 12"" Car Subwoofer Box;Speaker Cable;Woofer;Car Bandpass;Raw Subwoofer;Amplifier Kits;Bandpass Speaker;Public Address Speaker;0 Ga Power Cable;Subwoofer Unit;Speaker;Subwoofer;Passive PA Speaker;15inch Car Subwoofer;Cable;Loud Speaker;Power Cable;Car Subwoofer Box;Car Audio Subwoofer;Speaker Box;8ga Amplifier Kits;12"" Car Subwoofer",JLDAUDIO	;JLDAUDIO	;JLDAUDIO	
Jingdezhen Jinchen Electronics Ind Co Ltd,1X00EL63,Mainland China,Car Amplifier;Car Speaker;Speaker;Driver Midrange;Car Speaker And Amplifier;Car Speakers,shockpower	;shockpower	;shockpower	
Kensen Digital Limited,1X09ROT7,Hong Kong,In-Car DAB+ with FM Transmitter;Plug&Play In-Car DAB+ Adaptor with FM Transmitter and Bluetooth; Ultra Slim Pocket Size Digital HD & FM Radio With Speaker (KDR-675)  ;Digital DAB+/FM Kitchen Radio ;Ultra-Slim Pocket DAB+/FM Radio with Speaker;ODM/OEM Services;Digital DAB+/FM LED Dual Alarm Clock  ; Digital DAB/DAB+ & FM LED Clock Radio(KDR-638); Pocket Size Digital DAB+ FM Radio With Speaker (KDR-765)  ;In-Car DAB+ Adaptor with FM Transmitter and Bluetooth Hand-free;In-Car DAB+ Adaptor with FM Transmitter and Bluetooth Hand-free(KDR-728);In-Car DAB+ Radio Adaptor with Bluetooth & FM Transmitter;Ultra-Slim Pocket DAB+/FM Radio with Speaker ;Digital DAB/DAB+ & FM LED Clock Radio(KDR-638);Pocket Size Digital DAB+ FM Radio With Speaker (KDR-765);Ultra Slim Pocket Size Digital HD & AM/FM Radio With Speaker (KDR-675);Digital In-Car DAB+ Radio Adaptor With FM Transmitter And Bluetooth streaming(KDR-738); Digital In-Car DAB+ Radio Adaptor (KDR-728);Digital DAB+/FM LED Dual Alarm Clock,
Lightcomm Technology Co Ltd,1X00D8VH,Hong Kong,"Digital photo frame;10.1"" Portable DVD Player with Built-in DVBT2 TV;14"" Portable DVD Player;7"" social frame ;10.1 inch Quad Core Tablet;8 inch octa core tablet with metal housing;10.1"" 1-DIN in-Dash Digital Media Receiver with Bluetooth, Wireless Android Auto and Apple CarPlay;7"" Portable DVD player with dual screen ;9"" Portable DVD player;10.1"" social frame;WIFI frame, digital photo frame;9"" Android Car Audio (4G and 360 Built-in);High Definition Automobile Multimedia System;7 inch Quad Core Tablet;6.75"" Apple Car play;Wireless Apple Car Play & Android auto Muilti-media, Model no: CVD1018;8 inch Quad Core Tablet;10.1"" portable dvd player;14"" Portable DVD player;10.1"" Digital Photo Frame;Digital Photo Frame;Wi-Fi Digital Photo Frame;High Definition Social Digital Photo Frame;10.1” Social Frame;10.1 inch Octa Core Tablet with Metal Housing;7"" Portable DVD Player;8 inch quad core tablet;Carplay car media;10.1"" Android Car Audio (4G and 360 Built-in);10.2"" Portable DVD Player;Headrest DVD Player;10.1"" Portable DVBT2-H.265 TV;7"" Apple Car Play;10 inch Quad Core 3G Tablet;MDT1005 DVD Tablet ;10.1"" Android Car audio (4G and 360 Built-in);7"" Portable DVD Player with Dual Screen ;7 inch quad core tablet;Apple CarPlay-compatible Automobile Multimedia System;10.1"" Portable DVD Player;10.1 inch quad core tablet;7"" digital photo frame;Tablet PC, MID, model no: MID1032-MR;10.1"" Social Frame;10.1 inch octa core tablet with metal housing; Model No:CVD1366;10.1"" 1-DIN In-Dash Digital Media Receiver with Bluetooth, Wireless Android Auto and Apple CarPlay;7 inch Quad Core 3G Tablet;7"" Social Frame ;7"" Portable DVD player;7"" Digital Photo Frame;Meeting System, model no: PMS001;7"" Apple Car Play(CVD7361);Drop-Down DVD Player;7"" Android Car Audio; 9"" Android Car audio (4G and 360 Built-in);7” Social Frame;6.75"" Apple Car Play;7"" Android Car audio ;Portable DVD player;10.1"" Portable DVD player with built-in DVBT2 TV;7"" Portable DVD Player ;10.1"" digital photo frame;Android In-car entertainment;Tablet PC, Kids Tablet, MID, Model no: MID7015A-MK;Portable DVD Player;9"" Portable DVD Player;8 inch Octa Core Tablet with Metal Housing",Lightcomm;Lightcomm;Lightcomm
MCY Technology (International) Limited,1X09IIKY,Hong Kong,Smart Ai Detection Reversing Aid Turning Asist Bsd Blind Spot Camera Truck Ai Human Detection Camera System;4 Channel 256GB Dual SD Card Dashcam Night Vision Wifi GPS 4G Mini DVR Vehicle Truck Dash Camera;Mobile DVR;Mobile Mini Taxi Camera;Mobile Reverse View Camera;Mobile Vandal Proof Cameras;Mini Camera;Metal Box Camera;Mini Taxi Cameras;TFT Monitor;Mobile Reverse Cameras;Mobile Video Camera;MCY R46 12.3 Inch Electronic Full Hd 1080P Vehicle Bus Semi Truck Backup Side Reverse Rear View Mirror Camera SystemR46 12.3 Inch Electronic Vehicle Bus Semi Truck Backup Side Reverse Rear View E-side Mirror Camera;Mobile Mini Dome Cameras;Mobile Mini Taxi Cameras;MCY MRV1D IP69K Heavy Duty Trailer Truck Rear View Camera;Mobile Metal Dome Camera;Mobile Mini Box Camera,MCY	;MCY	;MCY	
"Miracle (Guang Zhou) Electronics Co.,Ltd.",1X09GN8V,Hong Kong,500W POWER STATION;Solar panel ;Automobile TV Player System ;LED Headlight ; LED Nightlight ;Automobile Multimedia Player with GPS ;HYUNDAI IX45 DVD Player;Gaming Keyboard;Car TV Player;Car Central Multimedia Player,EVERGEAR;EVERGEAR;EVERGEAR
"Roadrover Technology (Hong Kong)Co., Limited",1X07MJRO,Hong Kong,"Universal;Car DVR;Intelligent Electric Tailgate;Car GPS navigation;Car Video System;Car Rearview Mirror;Car GPS Navigation System;Universal,W6273001XT",
"Shenzhen Actiway Electronics Co., Ltd.",1X03VG7H,Mainland China,High Low Converter;Car Amplifier;DSP Amplifier;DSP amplifier;Car DSP Amplifier;Class-D Car Amplifier;Motorcycle Audio;car amplifier ;Digital Car Amplifier;Motorcycle Audio System,
"Shenzhen Caravan Electronics Co., Ltd",1X06FM9X,Mainland China,"9"" Touch Screen Active Clip On Headrest DVD Player;10.1inch Android 8.1 Headrest Monitor;Car Active Headrest DVD Player;10.1inch Roof Mount DVD Player with 1080P USB SD IR FM GAME full function;10.1inch Android Version 8.1 Headrest Monitor;11.6inch and 10.1inch Android Version 8.1 Headrest Monitor;Car or Bus Flip Down Monitor;10.8 Inch Android Version 8.1 Headrest Monitor with Special & Universal Bracket;13.3” Roof Mount Monitor;15.6inch and 17.3inch Car Roof Mount Monitor with android system",Caravan;Caravan;Caravan
