name,urn,country,products,brandname
"Shenzhen Beneworld Technology Co., Ltd.",1X05IA33,Mainland China,Nylon Computer Bag;Multifunction GPS;PU Purse,
Shenzhen Botrs Electronics Co Ltd,1X06G8MQ,Mainland China,Car Rear-View System;LED Parking Sensor System;Mini Camera;Car Parking Sensor;Car Media Panel;LCD Parking Sensor System,
"Shenzhen Createjoy Electronic Acoustic Technology Co., Ltd.",1X0AXPJE,Mainland China,Car DVD,
"Shenzhen Dingkaida Electronics Co., Ltd.",1X07V857,Mainland China,Car MP5 Player;Car MP3 Player;Car DVD Player,
"Shenzhen Dongchen Electric Industry Co., Ltd.",1X00O7GZ,Mainland China,2 Din Universal Car DVD Player;In Dash Car DVD Player for VW;In Dash DVD Player;Car DVD GPS player ;Vehicle Audio and Video Player with GPS;Car Navigation System;In-Dash Car DVD Player with GPS;Andriod Car DVD Player,
Shenzhen Dongyuan Electronics Co Ltd,1X00KHMZ,Mainland China,"Car Amplifier;Car Speaker;Raw Subwoofer;15"" Subwoofer;Speaker;Car Audio Speaker",
"Shenzhen Hongde Electronic Co., Ltd.",1X06V31Q,Mainland China,Flat TV;In-Car TV,
"Shenzhen Hualilong Automotive Electronics Technology Co., Ltd.",1X076D2V,Mainland China,Global Positioning System,
"Shenzhen Jeeja Electronics Industrial Co., Ltd.",1X04QZ03,Mainland China,"LCD TV;TFT LCD TV;Car DVB-T LCD HDTV;1-Din Car Audio;Video Door Phone;7"" TFT LCD Color TV;Portable Digital TV;Portable LCD TV;Portable TV;High-Definition Projector",JEJA;JEJA;JEJA
"Shenzhen Jumeican Technology Co.,Ltd",1X09FWB1,Mainland China,Car DVD;Car Multimedia Player;Car Monitor,
"Shenzhen Kinglywin Electronic Co.,Ltd",1X08IEHD,Mainland China,Car Multimedia System,
"Shenzhen Kingyoo Electronics Co., Ltd",1X04SB03,Mainland China,KY-9891 MP5;KY-3226 DVD;KY-9885 DVD;KY-9886 DVD;KY-9892 DVD;KY-5598 MP5;CAR DVD KY-9889 DVD;KY-5582 MP5;KY-9888 DVD;CAR DVD  KY-3229 DVD,
Shenzhen Kovan Sound Electronic Co Ltd,1X06D8PN,Mainland China,Car Multimedia and Navigation System;DVD Player;Car Navigation System;Multifunction Digital Screen;Car DVD Player;Multimedia and Navigation System,
"Shenzhen Leading Advance Electronics Co., Ltd.",1X04YFHA,Mainland China,"Digital Photo Frame;10.1"" MID;Car Multimedia Player;Car DVD Player;Flip-Down Monitor;Car Receiver;Portable ATSC TV Player",
"Shenzhen Maxmade Auto Elec. Co., Ltd.",1X08QV0F,Mainland China, alarm apparatus ;Smart Pad;Car DVD player,
"Shenzhen Maysun Info Technology Co., Ltd.",1X04ETWP,Mainland China,"QWERTY Phone;3G Windows Mobile Phone;W-CDMA Phone;Tablet PC;5"" Smartphone;Windows GPS Mobile Phone;Mobile TV (With GPS Function);Mini Notebook;Smartphone;Windows Mobile Phone",
Shenzhen Mercedes Technology Co Ltd,1X0AI52J,Mainland China,Floor Stand LCD Advertising Display;Digital Touch Tablet;LCD Display;Floor Stand Outdoor LCD Digital Signage;Bus LCD Advertising Monitor;Floor Standing Android Wi-Fi Phone Charging LCD Display;Stretch Bar LCD Monitor;Self Service Ordering & Payment Touch All in One PC LCD Kiosk;All in One Touch PC LCD Table;Wall-Mount Android Player with Charging LCD Advertising Screen,
"Shenzhen Mingzong Technology Co., Ltd.",1X08RQP5,Mainland China,LCD Car Monitor;7'' Trailer Rear View Safety System;Rearview System;Digital Rearview System;Touch-screen Car Monitor Rearview System ;CMOS Rearview Camera;Wireless CCD Rearview Camera,
"Shenzhen Sibo Industrial & Development Co., Ltd",1X07T0AQ,Mainland China,Car Headrest Tablet PC;In-Car Advertising Display;Tablet PC;Car Android Tablet PC,
Shenzhen Solam Technology Co Ltd,1X00BHF6,Mainland China,HD Car DVR;Car Black Box;Car Bluetooth;MP5 Multimedia Player;Car MP4 Player;Car MP5 Player;Bluetooth Watch;Car Charger;Car MP4 player (SL-868A),
"Shenzhen Sunmiyo Electronics Co.,Ltd.",1X08JQS2,Mainland China,Car Android System,
Shenzhen Sunway Industry Co Ltd,1X0A7E6O,Mainland China,Car BlueTooth TPMS;Car Headrest Monitor;DTV Receiver Box;Solar Power TMPS;FHD 1080P DVR;Car Parking Sensor;Video Parking Sensor;BUS/Metro TV Receiver Box;Tracking Video Parking FHD DVR;Car TMPS DVR,
Shenzhen Sunway Industry Limited,1X0AC34N,Hong Kong,Car DVR;MP5 Multi-Media Player;TPCMU TPMS;Dash Camera;Automobile Dash Camera ;Parking Sensor for US;Dash Camera DVR,
"Shenzhen Winbest Industrial Co., Ltd",1X05JBFO,Mainland China,Car Video Recorder;Tablet PC;Digital Photo Frame;Car Media Player;E-Book Reader,
