name,urn,country,products,brandname
Hankey Asia (HK) Ltd,1X000IPT,Hong Kong,body lotion;dried scallop;Candle Light;Christmas ball;Tapioca chips;sugar;snow willow gift;solar Keychain ;frozen fish maw;Powdered sugar icing;Body lotion;Solar Keychain ;Cher Perfume;Hokkaido scallop;football pinball sport game;white sugar ;mixed sugar;Solar Radio;fish maw;icumsa 45 sugar;cane sugar ;LED Rechargeable Emergency Bulb;Selfie stick;covid 19 rapid test kit;LED bulb;Tapioca chip;sugar IC 45;christmas decoration ball;sugar ICUMSA 45;palm oil;LED Rechargeable Candle;Solar LED Warning Light Bulb;Body Cream;Elizabeth Arden Prevage Anti-Aging Daily Serum;Tapioca starch;Football Pinball Sport Game;Perfume Gift set ;sleeping Buddha;sea cucumber;snow willow;Icumsa 45 sugar ;Cup;sugar ;Tapioca flour;Chicken feet;Icumsa 45 sugar;Tapioca (Cassava);Orientica Perfume;Kubb Game;infant Milk;Chicken paw;Tapioca Cassava flour;Frozen Chicken feet;Buddha;Golf Laser Putter;Tapioca;Solar Keychain;BESS battery storage;golf set;orange perfume;SOLAR RADIO AM/FM;Elizabeth Arden Retinol Ceramide Capsule;Ring Toss Game;Solar Radio Light;fast instant rice;covid 19 test kit;fish maw soup,hankey;hankey;hankey
HKTDC eMP Testing Company ,1S00NSJYN,Mainland China,Sixteen product Test Sixteen product Test Sixteen product Test Sixteen product Test Sixteen product Test;Cabbage plate : Small;testing;health check;Daily Health Check Service (Don't update and keep always online);kermit jai;product with video;Daily Health Check product (Don't update and keep always online),Luxury test test;Company Brand;Company Brand
Meat the Next Company Limited,1S00OH5VA,Hong Kong,虎堅果燕麥奶 - 1L ,
PRAKARN DIGNITY CORPORATION CO LTD,1X09S49F,Thailand,Long and Short Grain Rice;Wood Pellet;Black Pepper;Quality A4 Copy Ppaer;White and Yellow Dry Corn;Refined Icumsa Sugar ;Diapers;Refined Sunflower Oil;Red Bull Energy Drink;Infant Formula Baby Milk Powder ,
Biostime Hong Kong Limited,1X09U5K1,Hong Kong,Baby Nutrition & Baby Care;Biostime Premium Infant Formula;Healthy Times Organic Baby Cereal;Biostime Probiotics for Children,
Franki Trading Co,1X09VUMW,Hong Kong,Toddler Formula;Baby Formula,
"Hyproca Nutrition Co,. Ltd.",1X09R74B,Mainland China,Kabrita Premium Series Goat Milk Growing-up Formula;Kabrita Mama Goat Milk Formula;Kabrita Gold Series Goat Milk Follow-on Formula;Kabrita Gold Series Goat Milk Growing-up Formula;Kabrita Gold Series Goat Milk Infant Formula ;Kabrita Premium Series Goat Milk Follow-on Formula;Kabrita Premium Series Goat Milk Infant Formula,
Kara Marketing (M) Sdn Bhd,1X09R4K4,Malaysia,Low Fat Desiccated Coconut - Fine (25kg);Akasa Coconut Cooking Oil -1kg;Full Fat Desiccated Coconut Mill Run - 25kg;Low Fat Desiccated Coconut Miller - 10kg;Akasa Coconut Milk Podwer - 1kg;KARTA Coconut Water 330ml;Akasa Coconut Milk Powder -15kg;Coconut Milk Powder;Toasted Coconut Paste Kerisik 40g;Copra Extraction Pellets-50KG ;KARTA Coconut Water 1000ml;Low Fat Desiccated Coconut Miller - 25kg;Low Fat Desiccated Coconut  Extra Fine - 25kg;Kerisik;Akasa Coconut Milk Powder - 50g (椰浆粉 50g),
Minami Nihon Rakuno Kyodo Co Ltd,1X07HBNG,Japan,Skal 250ml;Yoghurppe 200ml strawberry flavor;Apple Juice;Orange Juice;Carton Coffee Drink;Kirishima-sanroku Milk;Yoghurppe Light; Yoghurppe 200ml strawberry flavor;Skal White PET500;Yoghurppe Light strawberry　flavor;Mixed Fruit Juice;Carbonated Diary Drink;Yoghurppe1000ml 200ml(A fermented-milk-based dairy lactic acid bacteria beverage);Mango Drink;Kirishimasanroku Milk;Kirishima Sanroku Milk;Sour Milk,
A & W Food Service (Hong Kong) Limited,1X0ACG8G,Hong Kong,,
Ameribella Holding Limited,1X09Q4YQ,Hong Kong,,
