company_name,country,city,address,website,products
"(ZHONGSHAN CHANLLYN ELECTRICAL APPLIANCE CO.,LTD",China,Zhongshan,"NO.13, DONGRUI 3 ROAD,DONGSHENG TOWN,ZHONGSHAN CITY,Zhongshan,Guangdong,China",,"wall lamp,IP44,bathroom pendant lampCeiling,lighting fixtures"
"3S IMPORT&EXPORT SHIJIAZHUANG CO.,LTD",China,Shijiazhuang,"2305,2309-2313 BLOCK A,HAIYUE GUOJI MANSION,NO.66 WEST YUHUA ROAD,SHIJIAZHUANG,Shijiazhuang,Hebei,China",http://www.3sapparel.com；www.solar3s.com,"foldable,Anti-UV,Anti-Aging,Leather.LCD Screen,MPPT,WiFi，solar energy"
"A.H.A INTERNATIONAL CO.,LTD.",China,Hefei,"JINAN MANSION 306 TUN XI  ROAD, HEFEI, ANHUI, CHINA,Hefei,Anhui,China",http://www.ahaint.com,"LED HOLIDAY LIGHT, CHRISTMAS LIGHT, DECORATIVE LIGHTLED plant grow light indoor bulb小夜灯，充电小夜灯"
"ACHEM ADHESIVE PRODUCT (JIANGSU) CO., LTD",China,Nantong,"No.1 Wanchio Road, Libao Town, Haian County, Jiangsu Province, China,Hai'an County,Nantong,Jiangsu,China",http://www.achem.com.tw/en/,"PVC ELECTRICAL TAPE, PVC TAPSIndustrial tapeAutomotive Tape"
"AGC Lighting Co.,Ltd",China,Shenzhen,"BUILDING A, NO.3 PLANT, JIAN AN ROAD, TANG WEI COMMUNITY, FUYONG STREET, BAOAN DISTRICT, SHENZHEN.,Bao'an District,Shenzhen,Guangdong,China",http://www.agcled.com,agcHL-37LED
"AHHUI HUANRUI HEATING MANUFACTURING CO.,LTD",China,Hefei,"LIUZI ROAD,FEIDONG ECONOMIC DEVELOPMENT ZONE,HEFEI CITY,ANHUI PROVINCE,CHINA,Hefei,Anhui,China",http://www.huanruiheatingcable.com/,"concrete curing heating cable , heating cable , floor heating cable heating cable , heat trace cable , heat cable , constant wattage heating trace cable underfloor heating mat, floor heating mat, floor heat mat , in-screed heating mat , under-tile heating mat , snowmelting heating mat, in-slab heating mat"
"Amso Solar Technology Co.,Ltd",China,Huai'an,"GaoLiangjian Pioneer Park,Hongze District,Huaian,Jiangsu Province,Huai'an,Jiangsu,China",https://www.amsosolar.com,"mono solar panel, mono 380w solar panel , mono 390w solar panel, mono solar cell panel  , large size solar panel, black solar panel  , high efficiency solar panel , high efficiency mono solar panel  , 72 cells mono solar panel, 300/350/400/450w mono solar panelhalf cell , mono solar panel , new technology solar panel, half solar cell panel , 182mm solar cell, 10BB solar panel, 144 cell，full black 550w, black solar panelspoly solar panel , poly solar cell solar panel , high efficiency solar panel , good performance solar panel , durable solar panel, 48 cells poly solar panel, poly 200w solar panel, poly 210w solar panel, poly 220w solar panel"
"ANDELI GROUP CO.,LTD.",China,Wenzhou,"NO.208,WEIQI ROAD,YUEQING ECONOMIC DEVELOPMENT ZONE YUEQING ZHEJIANG P.R.CHINA,Wenzhou,Zhejiang,China",http://www.andeligroup.com,"Limit switchmcb, circuit breaker, miniature circuit breaker Metal-clad switchgear"
"ANHUI  MASCOTOP ELECTRONIC CO.,LTD",China,Xuancheng,"NO.168 DONGCHENG AVENUE,HELI INDUSTRIAL ZONE,NINGGUO CITY,ANHUI PROVINCE,CHINA,Xuancheng,Anhui,China",http://www.mascotop.com,"capacitor, fan capacitor, CBB61 capacitor, Mascotop capacitorcapacitor, start capacitor, CD60 capacitor, Mascotop capacitorcapacitor, Microwave owens capacitor, CH85 capacitor, Mascotop capacitor"
"Anhui Anze Electric Co.,Ltd",China,Xuancheng,"38 ZHENNING RD., HELI PARK, ECONOMIC & TECH DEVELOPMENT ZONE,NINGGUO,242300 ANHUI,CHINA,Xuancheng,Anhui,China",http://www.anze.cn,"convector heater ,, bathroom heater , panel heater , electric heater , baseboard heater , electric heatersEcodesign, Lot20, Storage Heater, WiFi, ErP Readyconvector heater ,, bathroom heater , panel heater , electric heater "
ANHUI ANZHI LIGHTING & ELECTRICAL CO. LTD.,China,Hefei,"909-910 BLOCK B, FORTUNE PLAZA,SUIXI ROAD, HEFEI, ANHUI, CHINA,Hefei,Anhui,China",www.anzhilighting.com,"led, LED PANEL LAMP, PANEL LAMP, SURFACE LAMPLED lampshadelamp, LED , LED LAMP, REFLECTOR LAMP"
"Anhui Chenguang Electronic Technology Co.,Ltd",China,Huangshan,"No.127 Hui guang Road, Economic development Zone,Huangshan city,Anhui province,China,Huangshan,Anhui,China",,"air purifiers, air sterizizer, plasma sterilizerair purifiers, air sterizizer, plasma sterilizerair purifiers, air sterizizer, plasma sterilizer"
"Anhui Eagoal New Energy Group Co., Ltd.",China,Hefei,"No.8, Southeast corner of intersection of Huaitong Road and Tonghuaizhong Road,Xinzhan District, Hefei City, Anhui Provi,Hefei,Anhui,China",http://www.eagoal.com.cn,3.2v340ah/lithium/cell
"ANHUI ELECTRONICS INDUSTRIAL CO., LTD.",China,,"7/F.,CHENGUANG BLDG.,399 CHANGJIANG ROAD, HEFEI,ANHUI,CHINA,China",www.aheico.com,"ledfilamentbulb, decorativelight, vintagebulb, ledbulb, LEDglass bulb, LED light , LED globe bulb, LED Straight filament, Frosted coverLED DOWNLIGHT, DOWNLIGHT, CEILING LIGHT, PLASTIC DOWNLIGHT, 30W DOWNLIGHT, ALU DOWNLIGHT, LED ALU DOWNLIGHT, 20W DOWNLIGHTled bulb, led lamp, e27 bulb, e14 bulb, mini globe, globle bulb, e14 bulb, e27 bulb, 5w bulb, mini globe 6w e14 led bulb"
"Anhui Feida Electrical Technology Co., Ltd.",China,Xuancheng,"NO.1, SANJIN ROAD, NINGGUO CITY, ANHUI PROVINCE,Xuancheng,Anhui,China",http://ahfddq.com,"CBB65A-1 type S2, class B metal capacitorCBB65A-1 type 40μF 250V washing machine capacitorCBB65A-1 type washing machine capacitor"
"ANHUI HERRMAN IMPEX CO., LTD",China,Hefei,"16TH FLOOR, BUILDING C, FORTUNE PLAZA, NO.287, SUIXI ROAD, HEFEI, ANHUI, CHINA,Hefei,Anhui,China",http://www.herrman.com,"8A gate sensitive unidirectional thyristorrX0805(T, Thyristor Bidirectional , thyristor scr, SCR and TRIAC  , thyristor"
"ANHUI IMP. & EXP.CO.,LTD.",China,,"669 CHANGJIANG ROAD HEFEI ANHUI CHINA,China",http://www.aniec.com,"LED light, LED STREET LIGHT, SOLAR LIGHT, SOLAR STREET LIGHTLED, LED bulb, FAN BLADE BULBLED Solar Emergency Bulb"
"ANHUI LEADER ELECTRONICS MFG. CO., LTD",China,Anqing,"JIXIAN INDUSTRIAL PARK, DAGUAN ECONOMIC DEVELOPMENT ZONE,ANQING,ANHUI,P.R.CHINA,Anqing,Anhui,China",http://www.leadercable.com.cn,"FR-coaxial cableRG6, RG59cat.6 cable"
ANHUI LEOCH POWER SUPPLY CORP.,China,Huaibei,"ECONOMIC DEVELOPMENT ZONE, SUIXI TOWN, HUAIBEI CITY,ANHUI PROVINCE, CHINA.,Suixi County,Huaibei,Anhui,China",http://www.leoch.com,"VRLA Battery, lead acid battery, UPS battery, 12v 9ah sealed lead acid battery, emergency light battery, toy car batteryVRLA Battery, lead acid battery,  UPS battery, 12v 12ah sealed lead acid battery, emergency light battery, toy car batteryAGM Gel, 12V100AH"
"Anhui LiangLiangElectronic Tech.CO.,LTD.",China,Xuancheng,"ECONOMIC DEVELOPMENT ZONE OF GUANGDE COUNTY,Xuancheng,Anhui,China",http://www.zjlamp.com,"Bulb , LEDflood lightRotatable Spot Light"
"BEIJING FAR BLUE OCEAN IMPORT & EXPORT O.,LTD",China,,"ROOM620,SIX FLOOL,NO.154 NORTH ZHUAN CHANG ,TONGZHOU DISTRICT,BEIJING CHINA,Beijing,China",http://WWW.FBOSAFETY.CN,circuit breaker
Beijing Golden Harvest Science and Technology Development CO Ltd,China,,"Area A, Floor 4, Xinxing Hotel, No. 17, West Third Ring Middle Road, Haidian District, Beijing, China,China",https://jskj.xxg.com.cn,"semi-flexible solar panel，RV, Boat flexible solar panelportable solar panel, foldable solar panel，solar blanketportable solar panel, foldable solar panel，solar blanket for camping"
BEIJING GUOMAOCHENG IMP. & EXP.CORP.,China,City,"NO.90,CHONG WAI STREET,CHONG NEN DISTEICT BEIJING,City,Beijing,China",,超亮绿色灯条Light strip with plug绿色灯条
"BEIJING JOYWIN FASHION TEXTILE CO.,LTD",China,City,"NO.3 YINGQUAN ST.YANGQING DISC,BEIJING,City,Beijing,China",http://snowlotus.com.cn,Light bar
